ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
125,0.0667,0.2,0.0667,0.05,0.1833,0.2424,0.7576,0.0667,0.0667,0.3,60,33
126,0.0328,0.2459,0.0328,0.0656,0.1967,0.2059,0.7941,0.0656,0.1639,0.1967,61,34
127,0.0333,0.25,0.0167,0.0667,0.1333,0.2353,0.7647,0.1333,0.1167,0.25,60,34
128,0.0392,0.2353,0.0392,0.0196,0.1961,0.2424,0.7576,0.098,0.1176,0.2549,51,33
129,0.0571,0.2571,0.0286,0.0571,0.2,0.1154,0.8846,0.0571,0.0857,0.2571,35,26
130,0.1458,0.1042,0.0833,0.0833,0.125,0.2162,0.7838,0.0833,0.0417,0.3333,48,37
131,0.1136,0.1364,0.0568,0.0909,0.2045,0.3043,0.6957,0.0682,0.0682,0.2614,88,46
132,0.0674,0.1685,0.0562,0.1236,0.2022,0.3095,0.6905,0.1011,0.0787,0.2022,89,42
133,0.0652,0.2391,0.0435,0.0652,0.1957,0.2069,0.7931,0.087,0.1087,0.1957,46,29
134,0.0909,0.1136,0.0227,0.1364,0.2273,0.303,0.697,0.1136,0.0909,0.2045,44,33
135,0.0851,0.1277,0.0638,0.0851,0.1915,0.2759,0.7241,0.1489,0.1064,0.1915,47,29
136,0.1077,0.1846,0.0615,0.0923,0.1846,0.3429,0.6571,0.0923,0.0769,0.2,65,35
137,0.2059,0.0882,0.0882,0.1324,0.1618,0.3684,0.6316,0.0588,0.0735,0.1912,68,38
138,0.12,0.2267,0.04,0.1067,0.16,0.3871,0.6129,0.0933,0.08,0.1733,75,31
139,0.1273,0.1455,0.0727,0.1091,0.1818,0.2439,0.7561,0.1091,0.0727,0.1818,55,41
140,0.125,0.1562,0.0625,0.0625,0.2188,0.3478,0.6522,0.0938,0.125,0.1562,32,23
141,0.0952,0.119,0.0952,0.119,0.0952,0.3056,0.6944,0.119,0.0952,0.2619,42,36
142,0.0702,0.1579,0.0526,0.1053,0.1754,0.3611,0.6389,0.0877,0.0877,0.2632,57,36
143,0.0566,0.2642,0.0,0.0377,0.2453,0.2,0.8,0.0377,0.1132,0.2453,53,35
144,0.0638,0.1702,0.0213,0.1064,0.1702,0.2286,0.7714,0.0638,0.1064,0.2979,47,35
145,0.1231,0.1692,0.0615,0.1077,0.1385,0.3529,0.6471,0.0615,0.0923,0.2462,65,34
146,0.0429,0.1714,0.0429,0.0857,0.2143,0.2326,0.7674,0.0429,0.1429,0.2571,70,43
147,0.025,0.175,0.025,0.025,0.2,0.1667,0.8333,0.1,0.075,0.375,40,30
148,0.1304,0.1739,0.0435,0.087,0.1957,0.4286,0.5714,0.0435,0.1522,0.1739,46,35
149,0.0833,0.1667,0.0556,0.0833,0.1528,0.3077,0.6923,0.0833,0.0833,0.2917,72,39
150,0.0408,0.2041,0.0816,0.0408,0.2041,0.25,0.75,0.0612,0.102,0.2653,49,32
151,0.02,0.16,0.06,0.02,0.22,0.3077,0.6923,0.1,0.12,0.3,50,26
152,0.0,0.2381,0.0476,0.0,0.2857,0.12,0.88,0.0476,0.0714,0.3095,42,25
153,0.0377,0.2075,0.0566,0.0566,0.2642,0.1471,0.8529,0.0755,0.0943,0.2075,53,34
154,0.0364,0.2182,0.0545,0.0364,0.2182,0.1429,0.8571,0.0545,0.1091,0.2727,55,28
155,0.0,0.2333,0.0667,0.0,0.2333,0.0,1.0,0.0333,0.1333,0.3,30,22
156,0.0303,0.2273,0.0303,0.0455,0.2424,0.1765,0.8235,0.0455,0.1212,0.2576,66,34
157,0.0484,0.2097,0.0645,0.0484,0.2258,0.1795,0.8205,0.0645,0.0806,0.2581,62,39
158,0.0222,0.2222,0.0222,0.0444,0.2889,0.2424,0.7576,0.0444,0.0889,0.2667,45,33
159,0.0185,0.2222,0.0185,0.0185,0.2963,0.1212,0.8788,0.0185,0.0926,0.3148,54,33
160,0.0213,0.2553,0.0426,0.0213,0.2128,0.1,0.9,0.0638,0.0638,0.3191,47,30
161,0.0645,0.1613,0.0,0.0645,0.2903,0.0417,0.9583,0.0645,0.0968,0.2581,31,24
162,0.0323,0.1935,0.0645,0.0645,0.1935,0.1154,0.8846,0.0645,0.0645,0.3226,31,26
163,0.08,0.12,0.08,0.08,0.24,0.1429,0.8571,0.08,0.04,0.28,25,21
164,0.0,0.1786,0.0,0.0357,0.25,0.04,0.96,0.0,0.1429,0.3929,28,25
165,0.0,0.2222,0.0,0.0556,0.2222,0.0667,0.9333,0.0556,0.0556,0.3889,18,15
166,0.0,0.2333,0.0,0.0,0.3,0.0,1.0,0.0,0.1,0.3667,30,22
167,0.0323,0.1935,0.0323,0.0323,0.2903,0.12,0.88,0.0645,0.0645,0.2903,31,25
168,0.0455,0.2273,0.1364,0.0,0.1818,0.0714,0.9286,0.0909,0.0909,0.2273,22,14
169,0.05,0.25,0.05,0.1,0.15,0.0588,0.9412,0.05,0.15,0.2,20,17
170,0.0,0.2,0.04,0.08,0.2,0.2105,0.7895,0.08,0.16,0.24,25,19
171,0.0625,0.25,0.0,0.0312,0.2188,0.2273,0.7727,0.0625,0.125,0.25,32,22
172,0.1,0.1333,0.0333,0.0667,0.2667,0.0476,0.9524,0.0,0.1333,0.2667,30,21
173,0.0238,0.2619,0.0238,0.0952,0.2619,0.2,0.8,0.0238,0.1429,0.1667,42,20
174,0.0286,0.2286,0.0286,0.1429,0.1714,0.2812,0.7188,0.0857,0.0857,0.2286,35,32
175,0.0488,0.1951,0.0488,0.122,0.1707,0.2667,0.7333,0.0732,0.0488,0.2927,41,30
176,0.0455,0.1591,0.0455,0.1364,0.1818,0.2188,0.7812,0.0455,0.1136,0.2727,44,32
177,0.0732,0.122,0.0244,0.1463,0.122,0.2963,0.7037,0.1707,0.122,0.2195,41,27
178,0.0645,0.129,0.129,0.0645,0.1613,0.1481,0.8519,0.0323,0.0968,0.3226,31,27
179,0.1053,0.2368,0.0263,0.1842,0.1579,0.25,0.75,0.0789,0.0526,0.1579,38,28
180,0.0811,0.1351,0.0541,0.1351,0.1351,0.2,0.8,0.0811,0.0811,0.2973,37,30
181,0.0278,0.1111,0.0,0.1667,0.1667,0.1613,0.8387,0.0278,0.0833,0.4167,36,31
182,0.0339,0.1864,0.0339,0.1017,0.1864,0.1892,0.8108,0.0339,0.1186,0.3051,59,37
183,0.0172,0.2069,0.0172,0.0172,0.2069,0.2368,0.7632,0.069,0.1034,0.3621,58,38
184,0.0625,0.1458,0.0625,0.0833,0.1875,0.2368,0.7632,0.0625,0.0417,0.3542,48,38
185,0.0714,0.1071,0.0,0.1786,0.2143,0.2963,0.7037,0.0714,0.1071,0.25,28,27
186,0.0,0.2286,0.0,0.2571,0.1429,0.28,0.72,0.0286,0.0286,0.3143,35,25
187,0.0909,0.1212,0.0,0.0909,0.1212,0.2857,0.7143,0.0606,0.0909,0.4242,33,28
188,0.0196,0.2353,0.0196,0.1176,0.2353,0.1333,0.8667,0.0392,0.0784,0.2549,51,30
189,0.0938,0.1562,0.0312,0.125,0.1562,0.2727,0.7273,0.0312,0.0938,0.3125,32,22
190,0.0462,0.1538,0.0308,0.1231,0.1846,0.2381,0.7619,0.0923,0.0769,0.2923,65,42
191,0.1091,0.1636,0.0182,0.2182,0.1455,0.4375,0.5625,0.0727,0.1091,0.1636,55,32
192,0.0909,0.1273,0.0727,0.1455,0.1636,0.3939,0.6061,0.1273,0.1091,0.1636,55,33
193,0.0909,0.1364,0.0455,0.0909,0.1364,0.3636,0.6364,0.1136,0.0909,0.2955,44,22
194,0.0652,0.1304,0.0435,0.0435,0.1522,0.1786,0.8214,0.0652,0.0652,0.4348,46,28
195,0.1205,0.1325,0.1084,0.0964,0.1325,0.3143,0.6857,0.0964,0.0843,0.2289,83,35
196,0.0909,0.1212,0.0606,0.1515,0.1212,0.4211,0.5789,0.1515,0.1212,0.1818,33,19
197,0.0972,0.125,0.0972,0.1111,0.1389,0.3103,0.6897,0.125,0.0972,0.2083,72,29
198,0.075,0.1125,0.05,0.1125,0.175,0.3158,0.6842,0.0875,0.1125,0.275,80,38
199,0.1489,0.1915,0.0638,0.0851,0.1277,0.2857,0.7143,0.0851,0.0851,0.2128,47,28
200,0.0588,0.2059,0.0294,0.0882,0.25,0.3077,0.6923,0.0588,0.1029,0.2059,68,39
201,0.0227,0.2045,0.0227,0.1364,0.1591,0.2857,0.7143,0.0909,0.0909,0.2727,44,28
202,0.0513,0.1538,0.0256,0.0513,0.2821,0.1053,0.8947,0.0256,0.1026,0.3077,39,19
203,0.0217,0.1739,0.0435,0.1087,0.1957,0.2414,0.7586,0.0652,0.1522,0.2391,46,29
204,0.0417,0.1875,0.0417,0.0833,0.25,0.1786,0.8214,0.0417,0.0833,0.2708,48,28
205,0.0303,0.1212,0.0606,0.1212,0.1818,0.2759,0.7241,0.0606,0.0909,0.3333,33,29
206,0.0417,0.2292,0.0417,0.0625,0.2083,0.0882,0.9118,0.0625,0.0833,0.2708,48,34
207,0.0444,0.1556,0.0444,0.0667,0.2667,0.1923,0.8077,0.0444,0.0667,0.3111,45,26
208,0.0408,0.2449,0.0408,0.102,0.2245,0.3103,0.6897,0.0408,0.0612,0.2449,49,29
209,0.0392,0.2157,0.0784,0.0392,0.1765,0.1667,0.8333,0.0196,0.1373,0.2941,51,30
210,0.0526,0.2105,0.0263,0.0789,0.2368,0.1538,0.8462,0.0789,0.1053,0.2105,38,26
211,0.0227,0.2273,0.0455,0.0227,0.25,0.087,0.913,0.0682,0.0909,0.2727,44,23
212,0.069,0.2069,0.069,0.1034,0.2069,0.2,0.8,0.0345,0.1034,0.2069,29,15
213,0.0638,0.1489,0.0851,0.0638,0.2766,0.1935,0.8065,0.0638,0.0638,0.234,47,31
214,0.0476,0.1667,0.0952,0.0714,0.1667,0.1667,0.8333,0.0476,0.0952,0.3095,42,24
215,0.0357,0.1786,0.1071,0.1071,0.2143,0.1875,0.8125,0.0357,0.1071,0.2143,28,16
216,0.0556,0.1667,0.0,0.1111,0.2778,0.1538,0.8462,0.0,0.1111,0.2778,18,13
217,0.0213,0.1915,0.0426,0.0213,0.2553,0.0909,0.9091,0.0213,0.1064,0.3404,47,22
218,0.1,0.15,0.05,0.0,0.25,0.2857,0.7143,0.0,0.2,0.25,20,14
219,0.0238,0.2381,0.0,0.0238,0.3095,0.0455,0.9545,0.0,0.1429,0.2619,42,22
220,0.0,0.25,0.0,0.0,0.3214,0.0588,0.9412,0.0,0.1071,0.3214,28,17
221,0.0,0.0667,0.0,0.0667,0.2,0.0556,0.9444,0.0,0.0667,0.6,15,18
222,0.0556,0.1667,0.0,0.0,0.3889,0.0588,0.9412,0.0,0.0556,0.3333,18,17
223,0.0,0.1667,0.0,0.0,0.3333,0.0,1.0,0.0,0.0833,0.4167,12,10
224,0.0,0.125,0.0625,0.0,0.375,0.0667,0.9333,0.125,0.0,0.3125,16,15
225,0.0,0.0,0.0,0.125,0.375,0.2222,0.7778,0.125,0.125,0.25,8,9
226,0.0,0.1765,0.0,0.0588,0.4118,0.0526,0.9474,0.0,0.0588,0.2941,17,19
227,0.0,0.2222,0.0,0.0556,0.3333,0.0714,0.9286,0.0,0.0556,0.3333,18,14
228,0.037,0.1852,0.037,0.0,0.2963,0.0556,0.9444,0.037,0.1111,0.2963,27,18
229,0.0,0.1333,0.0,0.0,0.4,0.1,0.9,0.0667,0.0,0.4,15,10
230,0.0,0.1739,0.0435,0.087,0.2609,0.1667,0.8333,0.0435,0.087,0.3043,23,18
231,0.0,0.1613,0.0645,0.129,0.2581,0.1667,0.8333,0.0323,0.0968,0.2581,31,24
232,0.087,0.1304,0.0435,0.1739,0.1304,0.4286,0.5714,0.087,0.1304,0.2174,23,14
233,0.0606,0.1818,0.0,0.1515,0.2121,0.2308,0.7692,0.0303,0.1515,0.2121,33,26
234,0.0385,0.1923,0.0,0.2308,0.1538,0.3333,0.6667,0.0,0.0769,0.3077,26,18
235,0.0294,0.1765,0.0588,0.0588,0.2647,0.1304,0.8696,0.0588,0.1176,0.2353,34,23
236,0.0426,0.2553,0.0213,0.0213,0.2766,0.1739,0.8261,0.0213,0.1064,0.2553,47,23
237,0.0526,0.1053,0.0526,0.2105,0.1579,0.375,0.625,0.0,0.0526,0.3684,19,16
238,0.0333,0.1667,0.0333,0.1333,0.2667,0.2174,0.7826,0.1,0.0333,0.2333,30,23
239,0.08,0.24,0.0,0.08,0.16,0.2273,0.7727,0.08,0.16,0.2,25,22
240,0.0312,0.1875,0.0,0.0938,0.1875,0.2,0.8,0.0625,0.1562,0.2812,32,20
241,0.0408,0.2245,0.0816,0.0612,0.1837,0.2162,0.7838,0.0816,0.0612,0.2653,49,37
242,0.0,0.2154,0.0308,0.0615,0.2615,0.1304,0.8696,0.0615,0.0769,0.2923,65,46
243,0.0,0.2258,0.0323,0.0645,0.1935,0.2308,0.7692,0.0806,0.0968,0.3065,62,39
